player_id,last_season,current_club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp,url,age
174213,2021,2740,oleksandr-tkachenko,Oleksandr Tkachenko,Ukraine,Ukraine,1993-02-19,Goalkeeper,Goalkeeper,Right,192,270000.0,360000.0,https://www.transfermarkt.co.uk/oleksandr-tkachenko/profil/spieler/174213,28
201671,2021,2740,igor-perduta,Igor Perduta,UdSSR,Ukraine,1990-11-15,Defender,Defender - Right-Back,Right,176,450000.0,1080000.0,https://www.transfermarkt.co.uk/igor-perduta/profil/spieler/201671,31
310782,2021,2740,andriy-batsula,Andriy Batsula,Ukraine,Ukraine,1992-02-06,Defender,Defender - Left-Back,Left,184,540000.0,540000.0,https://www.transfermarkt.co.uk/andriy-batsula/profil/spieler/310782,29
748940,2021,48726,vasyl-runich,Vasyl Runich,Ukraine,Ukraine,2000-01-31,Attack,attack - Left Winger,Right,168,180000.0,180000.0,https://www.transfermarkt.co.uk/vasyl-runich/profil/spieler/748940,21
249994,2021,543,jose-sa,Jose Sa,Portugal,Portugal,1993-01-17,Goalkeeper,Goalkeeper,Right,192,12600000.0,12600000.0,https://www.transfermarkt.co.uk/jose-sa/profil/spieler/249994,28
501612,2021,48726,yuriy-klymchuk,Yuriy Klymchuk,Ukraine,Ukraine,1997-05-05,Attack,attack - Left Winger,Right,178,450000.0,450000.0,https://www.transfermarkt.co.uk/yuriy-klymchuk/profil/spieler/501612,24
620368,2021,48726,ostap-prytula,Ostap Prytula,Ukraine,Ukraine,2000-06-24,Attack,midfield - Attacking Midfield,Left,174,270000.0,270000.0,https://www.transfermarkt.co.uk/ostap-prytula/profil/spieler/620368,21
606743,2021,48726,ivan-lytvynenko,Ivan Lytvynenko,Ukraine,Ukraine,2001-04-10,Midfield,midfield - Central Midfield,Left,176,68000.0,90000.0,https://www.transfermarkt.co.uk/ivan-lytvynenko/profil/spieler/606743,20
316945,2021,48726,maryan-mysyk,Maryan Mysyk,Ukraine,Ukraine,1996-10-02,Attack,midfield - Attacking Midfield,Left,174,360000.0,360000.0,https://www.transfermarkt.co.uk/maryan-mysyk/profil/spieler/316945,25
58072,2021,48726,yaroslav-martynyuk,Yaroslav Martynyuk,UdSSR,Ukraine,1989-02-20,Midfield,midfield - Central Midfield,Left,181,270000.0,540000.0,https://www.transfermarkt.co.uk/yaroslav-martynyuk/profil/spieler/58072,32
892049,2021,48726,marko-sapuga,Marko Sapuga,Ukraine,Ukraine,2003-05-29,Midfield,midfield - Defensive Midfield,Right,194,180000.0,180000.0,https://www.transfermarkt.co.uk/marko-sapuga/profil/spieler/892049,18
91527,2021,48726,roman-karasyuk,Roman Karasyuk,UdSSR,Ukraine,1991-03-27,Midfield,midfield - Defensive Midfield,Right,182,360000.0,540000.0,https://www.transfermarkt.co.uk/roman-karasyuk/profil/spieler/91527,30
726038,2021,48726,vitaliy-roman,Vitaliy Roman,Ukraine,Ukraine,2003-04-14,Defender,Defender - Right-Back,Right,178,180000.0,180000.0,https://www.transfermarkt.co.uk/vitaliy-roman/profil/spieler/726038,18
748939,2021,48726,oleksiy-sych,Oleksiy Sych,Ukraine,Ukraine,2001-04-01,Defender,Defender - Right-Back,Right,185,360000.0,360000.0,https://www.transfermarkt.co.uk/oleksiy-sych/profil/spieler/748939,20
533537,2021,48726,rostyslav-lyakh,Rostyslav Lyakh,Ukraine,Ukraine,2000-10-12,Defender,Defender - Left-Back,Both,178,180000.0,180000.0,https://www.transfermarkt.co.uk/rostyslav-lyakh/profil/spieler/533537,21
315129,2021,48726,lassana-faye,Lassana Faye,Netherlands,Netherlands,1998-06-15,Defender,Defender - Left-Back,Left,179,248000.0,1130000.0,https://www.transfermarkt.co.uk/lassana-faye/profil/spieler/315129,23
702561,2021,48726,roman-didyk,Roman Didyk,Ukraine,Ukraine,2002-12-02,Defender,Defender - Centre-Back,Right,185,270000.0,270000.0,https://www.transfermarkt.co.uk/roman-didyk/profil/spieler/702561,19
107803,2021,48726,maksym-bilyi,Maksym Bilyi,UdSSR,Ukraine,1990-06-21,Defender,Defender - Centre-Back,Right,187,360000.0,810000.0,https://www.transfermarkt.co.uk/maksym-bilyi/profil/spieler/107803,31
102572,2021,48726,yuriy-pankiv,Yuriy Pankiv,UdSSR,Ukraine,1984-11-03,Goalkeeper,Goalkeeper,Right,186,180000.0,720000.0,https://www.transfermarkt.co.uk/yuriy-pankiv/profil/spieler/102572,37
167556,2021,338,vladyslav-kulach,Vladyslav Kulach,Ukraine,Ukraine,1993-05-07,Attack,attack - Centre-Forward,Right,178,900000.0,1080000.0,https://www.transfermarkt.co.uk/vladyslav-kulach/profil/spieler/167556,28
305415,2021,338,artem-besedin,Artem Besedin,Ukraine,Ukraine,1996-03-31,Attack,attack - Centre-Forward,Right,185,1800000.0,2700000.0,https://www.transfermarkt.co.uk/artem-besedin/profil/spieler/305415,25
264372,2021,338,viktor-tsygankov,Viktor Tsygankov,Israel,Ukraine,1997-11-15,Attack,attack - Right Winger,Left,178,22500000.0,22500000.0,https://www.transfermarkt.co.uk/viktor-tsygankov/profil/spieler/264372,24
383325,2021,338,denys-antyukh,Denys Antyukh,Ukraine,Ukraine,1997-07-30,Attack,attack - Left Winger,Left,183,450000.0,540000.0,https://www.transfermarkt.co.uk/denys-antyukh/profil/spieler/383325,24
70754,2021,338,denys-garmash,Denys Garmash,UdSSR,Ukraine,1990-04-19,Attack,midfield - Attacking Midfield,Right,186,1620000.0,5850000.0,https://www.transfermarkt.co.uk/denys-garmash/profil/spieler/70754,31
167722,2021,338,vitaliy-buyalskyi,Vitaliy Buyalskyi,Ukraine,Ukraine,1993-01-06,Attack,midfield - Attacking Midfield,Right,175,6300000.0,6300000.0,https://www.transfermarkt.co.uk/vitaliy-buyalskyi/profil/spieler/167722,28
337198,2021,48726,bogdan-boychuk,Bogdan Boychuk,Ukraine,Ukraine,1996-05-30,Attack,attack - Right Winger,Right,170,360000.0,360000.0,https://www.transfermarkt.co.uk/bogdan-boychuk/profil/spieler/337198,25
543493,2021,2740,najeeb-yakubu,Najeeb Yakubu,Ghana,Ghana,2000-05-01,Midfield,midfield - Left Midfield,Right,182,810000.0,810000.0,https://www.transfermarkt.co.uk/najeeb-yakubu/profil/spieler/543493,21
294746,2021,338,volodymyr-shepelev,Volodymyr Shepelev,Ukraine,Ukraine,1997-06-01,Midfield,midfield - Central Midfield,Right,184,1800000.0,3600000.0,https://www.transfermarkt.co.uk/volodymyr-shepelev/profil/spieler/294746,24
368611,2021,338,mykola-shaparenko,Mykola Shaparenko,Ukraine,Ukraine,1998-10-04,Midfield,midfield - Central Midfield,Right,178,9000000.0,9000000.0,https://www.transfermarkt.co.uk/mykola-shaparenko/profil/spieler/368611,23
124182,2021,338,sergiy-sydorchuk,Sergiy Sydorchuk,UdSSR,Ukraine,1991-05-02,Midfield,midfield - Defensive Midfield,Right,189,4500000.0,4500000.0,https://www.transfermarkt.co.uk/sergiy-sydorchuk/profil/spieler/124182,30
539442,2021,338,yaroslav-nadolskyi,Yaroslav Nadolskyi,Ukraine,Ukraine,2001-03-01,Midfield,midfield - Central Midfield,Left,179,90000.0,90000.0,https://www.transfermarkt.co.uk/yaroslav-nadolskyi/profil/spieler/539442,20
