country,pretty_name,position,market_value_in_gbp,age,LongitudeMeasure,LatitudeMeasure,value
Belgium,Dorian Dessoleil,Defender,2250000.0,29,4.460615349631556,50.638723785499394,"2,250,000.0"
Belgium,Bjorn Engels,Defender,2700000.0,27,5.250814900090337,50.9389233469994,"2,700,000.0"
Belgium,Colin Coosemans,Goalkeeper,270000.0,29,4.071101516673019,51.04793368245199,"270,000.0"
Belgium,Hans Vanaken,Attack,14400000.0,29,4.874973118470688,50.511485756281786,"14,400,000.0"
Belgium,Lynnt Audoor,Midfield,360000.0,18,4.901288219799179,51.43396272861887,"360,000.0"
Belgium,Mats Rits,Midfield,5400000.0,28,4.773363500732877,51.38788864973558,"5,400,000.0"
Belgium,Denis Odoi,Defender,630000.0,33,5.114196156618904,50.98641385830164,"630,000.0"
Belgium,Clinton Mata,Defender,7200000.0,29,3.559101600617419,50.86302608919745,"7,200,000.0"
Belgium,Brandon Mechele,Defender,5400000.0,28,4.298435192953761,49.96689219351112,"5,400,000.0"
Belgium,Nick Shinton,Goalkeeper,225000.0,20,4.209878990585167,50.46309186519954,"225,000.0"
Belgium,Senne Lammens,Goalkeeper,720000.0,19,4.293390605418468,51.03421202063001,"720,000.0"
Belgium,Simon Mignolet,Goalkeeper,3150000.0,33,4.210473662847615,49.966880378450895,"3,150,000.0"
Belgium,Antoine Colassin,Attack,405000.0,20,3.347561393361525,51.10235974545465,"405,000.0"
Belgium,Renaud Emond,Attack,1080000.0,30,4.312868108340195,51.12363636308143,"1,080,000.0"
Belgium,Noah Mbamba,Midfield,3600000.0,16,3.5026747135415723,50.53964851979038,"3,600,000.0"
Belgium,Selim Amallah,Attack,4500000.0,25,4.723879087967929,50.9247860630954,"4,500,000.0"
Belgium,Olivier Dumont,Midfield,90000.0,19,2.9747968845822377,50.887496545915,"90,000.0"
Belgium,Samuel Bastien,Midfield,1980000.0,25,5.558179044536434,50.210629957312015,"1,980,000.0"
Belgium,Nicolas Raskin,Midfield,4500000.0,20,6.055543297000924,50.52286001076932,"4,500,000.0"
Belgium,Joachim Van Damme,Midfield,450000.0,30,3.328590260354874,50.71316256719631,"450,000.0"
Belgium,Gilles Dewaele,Defender,1260000.0,25,3.9613251234963216,51.13281592856311,"1,260,000.0"
Belgium,Alexandro Calut,Defender,450000.0,18,4.884865087179477,50.22985826190829,"450,000.0"
